Timestamp,What is your age?,What is your occupation?,How often do you/your household eat out at restaurants?,How often do you/your household usually shop for food and groceries?,How do you/your household shop for groceries?,How much do you/your household usually spend on each grocery shopping? (in USD),How much food does your household usually have leftover after each meal?,Why do you think there is leftover food in your household?,What are the reasons behind your groceries/ingredients becoming spoiled or expired?
1/15/2021 15:29:35,25,Intern at Smart,Once a week,Once every 2 week,Go and buy from the shop directly,60,Never have food leftover,Cooking too much food,Not sure how to check the condition of the ingredients when buying
1/15/2021 15:31:18,19,Student,Never,Twice a week,Go and buy from the shop directly,60,Never have food leftover,Ordering food from outside/eating out while there's food at home,Not sure how to check the condition of the ingredients when buying
1/15/2021 16:42:45,21,Law Student,More than 3 times a week,Once every 2 week,Go and buy from the shop directly,50,1/4 of the food cooked,Cooking too much food,Buying too much in a single time
1/15/2021 16:57:07,22,Student,Never,Everyday,Go and buy from the shop directly,20,1/4 of the food cooked,Cooking too much food,Cannot keep track of the stuff that was bought
1/15/2021 17:34:36,23,Student,More than 3 times a week,Everyday,Both app and shopping,100,1/4 of the food cooked,Cooking too much food,"Not sure how to check the condition of the ingredients when buying, Buying too much in a single time"
1/15/2021 17:41:44,25,Student,Not often. I don’t know. ,Everyday,Go and buy from the shop directly,15,A bit,"Cooking too much food, We ate them all",Nothing left over
1/15/2021 17:48:47,25,Student,Once a week,Twice a week,Go and buy from the shop directly,30,Never have food leftover,Nothing,Nothing
1/15/2021 18:11:13,24,Accountant,Twice a week,Everyday,Go and buy from the shop directly,15,Never have food leftover,N/A,N/A
1/15/2021 18:22:41,20,Student,Once in a while,Everyday,Go and buy from the shop directly,20,1/4 of the food cooked,"Cooking too much food, Ordering food from outside/eating out while there's food at home","Not sure how to check the condition of the ingredients when buying, Buying too much in a single time"
1/15/2021 18:36:29,26,IT,More than 3 times a week,Twice a week,Go and buy from the shop directly,25,1/3 of the food cooked,"Cooking too much food, Cannot estimate the right amount to cook, The food is not tasty","Not sure how to check the condition of the ingredients when buying, Buying too much in a single time"
1/18/2021 8:04:13,20,Student,Never,Twice a week,Go and buy from the shop directly,50,1/4 of the food cooked,Cooking too much food,"Not sure how to check the condition of the ingredients when buying, Buying too much in a single time"
